Title,Director,Cast,Genre,Notes,Ref.,Year,index
Makrifat Cinta,Kamal G,"Syamsul Yusof, Nora Danish, Nabila Huda, Adi Putra, Aznil Nawawi, Puteri Balqis, Sabrina Ali",Drama,Dhananwoodd Films,,2018,466
Badang,Abdul Razak Mohaideen,"Aliff Syukri, Fasha Sandha, Azhari Mohd Zain, Aminah Rhapor, Fauzi Nawawi, Fareez Fauzi",Action,FiTA Studios,,2018,467
A House of Happiness,JY Teng,"Richard Ng, Mimi Chu, Chan Fong, Cheryl Lee",Family,"Lomo Pictures
Mandarin-language film",,2018,468
Surf This Love: Gelora Juara,Waan Hafiz,"Shukri Yahaya, Cristina Suzanne, Pekin Ibrahim, Josiah Hogan, Ardell Aryana",Comedy / Romance,Global Solution Resources,,2018,469
Amazing Titanman,Eddie Tiger,"Jaguar Lim, Namewee, Mehrdad Razavi Mozart, Azman Hassan",Comedy / Science Fiction,"Jaguar Lim Films & Productions
Mandarin-language film",,2018,470
Bidong The Boat People,Yusof Kelana,"Taufik Hanafi, Irene Wong, Livonia Ricky, Zamree",Historical,YKS Film Maker,,2018,471
KL Special Force,Syafiq Yusof,"Syamsul Yusof, Rosyam Nor, Fattah Amin",Action,Viper Studios-Skop Production-Damofa Productions co-production,,2018,472
Get Hard Tongkat Ali,Chan Wai Cheong,"JC Chee, Juwei Teoh, Sarah Lian, Emily Kong, Elvis Chin",Comedy,"Storideas
Mandarin-language film",,2018,473
Lee Chong Wei: Rise Of The Legend,Teng Bee,"Tosh Chan, Jake Eng, Ashley Hua, Rosyam Nor, Yeo Yann Yann, Mark Lee, Freddie Wong, Bernard Hiew",Drama / Sports,"CB Pictures
Mandarin-language film",,2018,474
33km From KL,K. S. Umaagaanthan,"Ben G, Kavi Maran, Logeswaran, Ananthan Muniandy",Crime,"KS Armada Megah
Tamil-language film",,2018,475
Hantu Wangan,Ahmad Idham,"Achey Bocey, Nur Risteena, Ruminah Sidek",Comedy,Aifa Motion Pictures,,2018,476
Enjin No. 9,Raja Azmi,"Kazar, Tajul Arif, Sharifah Shahira, Ayuni Asyiqin",Comedy,Rangkaian Melati Production,,2018,477
Dukun,Dain Said,"Umie Aida, Faizal Hussein, Adlin Aman Ramlie, Namron, Sofi Jikan",Horror / Thriller,Astro Shaw,,2018,478
Villavan,Vassan Kumaran,"Vinod Mohan, Sangeeta Krishnasamy, Logan Nathan",Action,"GVKM Elephant Pictures
Tamil-language film",,2018,479
Shun Pong O,David Thian Thor Wei,"Shinny Tan, Kim Ho Won, Sherlyn Seo, Philip Keong, Phoebe Ooi, Jin Ju Hyung",Romance,"DAA Production
Mandarin-language film",,2018,480
Sughamaai Subbulakshmi,Karthik Shamalan,"Saresh D7, Punitah Shanmugam, Bagya Arivuckarasu, Kuben Mahadevan, G Crack Karnan",Romance,"MA Productions House
Tamil-language film",,2018,481
Million Loves In Me,Sampson Yuen,"John Y, Lo Koon Lan, Wilson Lee, Ruby Yap, Hiro Hayama",Drama,"Full Billion Entertainment
Cantonese-language film",,2018,482
Impermanence Life,Lai Kim Koon,"Loo Chin Mei, Jovean Yee, Lai Jiun Yong",Family,"Cao Min Pictures
Mandarin-language film",,2018,483
Qhaliq,Rosli Mohd Taib,"Hairul Azreen, Aliff Yasraff, Nur Risteena",Action,Aifa Motion Pictures,,2018,484
This Is Pilah,Rosdi Mat Dhali,"Juzzthin, Zaidatul Iesna Mohd Raus, Kazar, Eliza Mustafa",Comedy,Madness Films,,2018,485
Blue Tears,Zhu Dan & Wang Jiang,"Wong Yat Fei, Clara Wong, Xie Ming Yu",Historical,"Global China Film
Mandarin-language film",,2018,486
Blok 404: Hidup Sampai Mati,Isma,"Zamarul Hisham, Raja Azri, Nur Risteena, Amar Asyraf",Mystery,DBI Entertainment,,2018,487
Ghora,Devendran Arunasalam,"G Crack Karnan, Mugen Rao, Yasmin Nadiah, Sara Baskin, Velarasan, Sathish Kumar",Horror,"Algebra Films
Tamil-language film",,2018,488
Atcham Thavir,S. S. Vikneswaran & Karthik Shamalan,"Gana, Uthaya, Geetha, Aanantha",Comedy,"JPS Consultancy & Training
Tamil-language film",,2018,489
Buyer Beware,Jeffrey Chiang,"Carlos Chan, Bryant Mak, Carmen Soup",Horror,"MM2 Entertainment
Cantonese-language film",,2018,490
Vedigundu Pasangge,Vimala Perumal,"Denes Kumar, Sangeeta Krishnasamy, Thangamani Velayudan, David Anthony, Seelan Manoheran",Action / Comedy,"Veedu Production
Tamil-language film",,2018,491
Pulang,Kabir Bhatia,"Remy Ishak, Puteri Aishah Sulaiman, Azrel Ismail, Erwin Dawson, Juliana Evans",Biography / Drama / Historical,Primeworks Studios,,2018,492
Hantu Kak Limah,Mamat Khalid,"Awie, Delimawati, Rab Khalid, TJ Isa, Sharwani, Zul Ariffin, Uqasha Senrose, Ropie",Comedy / Horror,"Astro Shaw
Preceded by Hantu Kak Limah Balik Rumah (2010) and Hantu Kak Limah 2: Husin, Mon & Jin Pakai Toncit (2013)",,2018,493
Wheely,Yusry Abdul Halim,"Zizan Razak, Johan, Lisa Surihani, Norman Abdul Halim, Felix Mayer, Linus Kraus, Josephine Schmidt",Action / Animation / Comedy,KRU Studios,,2018,494
Thirudathey Papa Thirudathey,Shalini Balasundaram,"Saresh D7, Shalini Balasundaram, Kabil Ganesan, Yuvaraj Krishnasamy",Action / Comedy / Romance,"Story Films
Tamil-language film",,2018,495
Munafik 2,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Fizz Fairuz, Mawi, Fauzi Nawawi, Nasir Bilal Khan, Rahim Razali",Horror,"Skop Productions
Preceded by Munafik (2016)",,2018,496
One Two Jaga,"Nam Ron, Mohd Shafiq & Pitt Haniff","Zahiril Adzim, Rosdeen Suboh, Ario Bayu, Timothy Castillo, Iedil Putra",Action / Drama,TGV Pictures,,2018,497
Rise: Ini Kalilah,"Prem Nath, Saw Teong Hin & Nik Amir Mustapha","Remy Ishak, Mira Filzah, Sangeeta Krishnasamy, Jack Tan, Shashi Tharan, Jenn Chia",Drama,MM2 Entertainment,,2018,498
Neeyum Naanum,Bala Ganapathi William,"Bala Ganapathi William, Jasmin Micheal, Kavitha Thiagarajan, Suhan",Comedy / Romance,"BGW Studios
Tamil-language film",,2018,499
Langsuir,Osman Ali,"Syafiq Kyle, Hannah Delisha",Horror,Early Bird Productions,,2018,500
Tangisan Akinabalu,Jurey Latiff,"Yuri Mejal, Phanthegerow, Syaiful",Horror,New Line Productions,,2018,501
PASKAL,Adrian Teh,"Hairul Azreen, Ammar Alfian, Henley Hii, Taufik Hanafi",Action / Thriller,"Asia Tropical Films, Golden Screen Cinemas, Multimedia Entertainment, & Astro Shaw",,2018,502
Kalla: Hidup Atau Mati,Wan Hasliza,"Faizal Hussein, Farali Khan, Vanida Imran, Azhan Rani, Faizal Hussein, Farali Khan, Azhan Rani, Haeryanto Hassan",Action / Drama,Empire Film Solution,,2018,503
Gol Dan Gincu Vol. 2,Umi Salwana Omar,"Diana Danielle, Ummi Nazeera, Sharifah Amani, Sazzy Falak, Syafiq Kyle, Aedy Ashraf",Comedy / Drama,Red Films,,2018,504
Operasi X,Sandosh Kesavan,"Aaron Aziz, Awie, Yusof Haslam, Nasir Bilal Khan, Hairul Azreen",Action / Crime,Dream Pictures Production,,2018,505
7ujuh,Raja Mukhriz Raja Ahmad Kamaruddin,"Johan As'ari, Cristina Suzanne, Siti Saleha, Aeril Zafrel, Pekin Ibrahim, Dee Dee Nash, Riz Amin, Marsha Milan Londoh, Faizal Hussein",Horror / Thriller,Primeworks Studios,,2018,506
Mahaguru,Z Lokman,"Mokhtaruddin, Alif AF, Mie Raja Lawak, Aman Shah",Action,Bismi Adira Production,,2018,507
Polis EVO 2,"Joel Soh, Andre Chiew","Zizan Razak, Shaheizy Sam, Raline Shah, Erra Fazira, Hasnul Rahmat, Mike Lucock, Tanta Ginting, Soffi Jikan, Syafie Naswip, Hairul Azreen",Action,"Astro Shaw
Preceded by Polis Evo (2015)",,2018,508
Guang,Quek Shio Chuan,"Kyo Chen, Emily Chan, Ernest Chong",Family,"MM2 Entertainment
Mandarin-language film",,2018,509
Who Is The Champion?,John Lee,"Alien Huang, Jasmine Lee, Judy Chou",Action / Dance / Drama,"Mega Films Distribution
Mandarin-language film",,2018,510
3AM,Azlan Shahril,"Norman Hakim, Jalaluddin Hassan, Dynas Mokhtar, A. Galak, Rahim Omar, Allana Amir",Horror,Bright Sun Media,,2018,511
A Stolen Life,"Lin Shuhung, Kee Lai Koon","Eric Suen, Tong Bing Yu, Yin Yanping, Zhu Yaying",Thriller,"MM2 Entertainment
Mandarin-language film",,2018,512
Awang Gerudi,Z. Lokman,"Aprena Manrose, Zoey Rahman, Ika Nabila",Comedy,Empire Film Solution,,2018,513
